CreditBand,Channel,n_cases,exception_rate,avg_dti,docs_complete_rate
A,Branch,8860,0.05812641083521445,0.24512283121599326,0.9457110609480812
A,Online,21174,0.1071597241900444,0.24444261940926623,0.8770662132804383
A,Partner,5147,0.1350301146298815,0.24535350540518283,0.8064892170196231
B,Branch,7442,0.10951357162053212,0.24310079876830354,0.9493415748454717
B,Online,18002,0.17031440951005444,0.24175877882650507,0.8813465170536607
B,Partner,4435,0.21443066516347237,0.24129121593142877,0.7948139797068771
C,Branch,5381,0.2055380040884594,0.24462649445788054,0.950566809143282
C,Online,13148,0.30810769698813506,0.2463454992994831,0.8808183754183145
C,Partner,3395,0.36111929307805596,0.24729925899795013,0.7988217967599411
D,Branch,3319,0.33052124133775235,0.24402690293905074,0.955106959927689
D,Online,7801,0.4299448788616844,0.24621686814386617,0.8675810793488015
D,Partner,1896,0.4831223628691983,0.2461925433828934,0.8069620253164557
