CaseID,Activity,Arrival_Time,Start_Time,End_Time,Resource,Regime_Mode
0,Data_Entry,0.0,0.0,9.478387870045097,Clerk,2
1,Data_Entry,12.240723447297613,12.240723447297613,22.158279858434675,Clerk,1
2,Data_Entry,15.271757675338975,15.271757675338975,28.1676515566309,Clerk,2
5,Data_Entry,42.684949840607544,42.684949840607544,49.77829954831103,Clerk,1
4,Data_Entry,42.36221699644385,42.36221699644385,52.64252703274879,Clerk,2
3,Data_Entry,41.999214869955544,41.999214869955544,55.11430970923574,Clerk,1
6,Data_Entry,52.13290089151636,52.13290089151636,59.239150988442425,Clerk,2
1,Underwriting,22.158279858434675,22.158279858434675,62.86277980402995,Primary_UW,1
7,Data_Entry,72.02575802219353,72.02575802219353,76.62557229223816,Clerk,1
8,Data_Entry,86.39923731387535,86.39923731387535,91.26646567592697,Clerk,1
5,Underwriting,49.77829954831103,49.77829954831103,105.31388626842813,Primary_UW,1
3,Underwriting,55.11430970923574,62.86277980402995,112.10665058011591,Primary_UW,1
10,Data_Entry,125.43813331508258,125.43813331508258,131.65703166773818,Clerk,1
9,Data_Entry,124.217509095135,124.217509095135,133.1909948298961,Clerk,1
7,Underwriting,76.62557229223816,112.10665058011591,141.9173554213426,Primary_UW,1
11,Data_Entry,145.1868925879457,145.1868925879457,157.86269216736474,Clerk,1
8,Underwriting,91.26646567592697,141.9173554213426,167.32572217325412,Primary_UW,1
12,Data_Entry,188.58147481622592,188.58147481622592,193.90734197010246,Clerk,1
10,Underwriting,131.65703166773818,167.32572217325412,213.25079798511172,Primary_UW,1
13,Data_Entry,209.80300663125195,209.80300663125195,216.73872880260336,Clerk,1
8,VP_Approval,167.32572217325412,167.32572217325412,217.6948759569687,VP,1
14,Data_Entry,220.1375979274381,220.1375979274381,225.91932203536237,Clerk,1
15,Data_Entry,223.2412655716041,223.2412655716041,232.38171362572987,Clerk,2
16,Data_Entry,226.4212160883081,226.4212160883081,233.2408677395773,Clerk,1
0,Underwriting,9.478387870045097,9.478387870045097,234.6902163674277,Primary_UW,2
4,Underwriting,52.64252703274879,52.64252703274879,237.6807006848718,Primary_UW,2
2,Underwriting,28.1676515566309,28.1676515566309,240.79005225623223,Primary_UW,2
18,Data_Entry,241.3592167921668,241.3592167921668,247.30502650381186,Clerk,1
17,Data_Entry,238.5380345947219,238.5380345947219,252.7727461199988,Clerk,1
9,Underwriting,133.1909948298961,213.25079798511172,259.97998858981083,Primary_UW,1
19,Data_Entry,253.8899124086373,253.8899124086373,264.34160016996674,Clerk,2
12,Underwriting,193.90734197010246,237.6807006848718,272.8199020443015,Primary_UW,1
11,Underwriting,157.86269216736474,234.6902163674277,274.4685546585455,Primary_UW,1
20,Data_Entry,269.5631658891859,269.5631658891859,278.25739146606963,Clerk,1
6,Underwriting,59.239150988442425,105.31388626842813,279.93655763832595,Primary_UW,2
13,Underwriting,216.73872880260336,240.79005225623223,285.25055028076935,Primary_UW,1
14,Underwriting,225.91932203536237,259.97998858981083,287.4106807962976,Primary_UW,1
16,Underwriting,233.2408677395773,274.4685546585455,300.7463836739631,Primary_UW,1
20,Underwriting,278.25739146606963,300.7463836739631,325.49058579541673,Primary_UW,1
18,Underwriting,247.30502650381186,279.93655763832595,328.3000139833817,Primary_UW,1
21,Data_Entry,324.2664423104906,324.2664423104906,330.84652121927365,Clerk,1
17,Underwriting,252.7727461199988,285.25055028076935,333.1233416174048,Primary_UW,1
14,VP_Approval,287.4106807962976,287.4106807962976,342.4188317873572,VP,1
15,Underwriting,232.38171362572987,272.8199020443015,348.3248300461189,Primary_UW,2
22,Data_Entry,338.11394778251525,338.11394778251525,349.3276525236236,Clerk,2
24,Data_Entry,344.97494886976403,344.97494886976403,349.7868293184505,Clerk,1
23,Data_Entry,341.2354988726431,341.2354988726431,350.2884019370532,Clerk,1
21,Underwriting,330.84652121927365,330.84652121927365,368.0255363089404,Primary_UW,1
25,Data_Entry,370.0602630279068,370.0602630279068,379.87125009182733,Clerk,1
23,Underwriting,350.2884019370532,350.2884019370532,384.38614512329275,Primary_UW,1
26,Data_Entry,376.10312500407787,376.10312500407787,387.2292935096885,Clerk,1
24,Underwriting,349.7868293184505,349.7868293184505,388.1066428817888,Primary_UW,1
27,Data_Entry,379.79578605544407,379.79578605544407,390.5940355346568,Clerk,1
28,Data_Entry,383.4535882460744,383.4535882460744,390.8963076046164,Clerk,1
13,VP_Approval,285.25055028076935,285.25055028076935,394.18793488508936,VP,1
29,Data_Entry,389.57151181998876,389.57151181998876,400.51411301728535,Clerk,2
31,Data_Entry,399.5137910079476,399.5137910079476,405.3734974539669,Clerk,2
30,Data_Entry,398.1201151073238,398.1201151073238,405.84388294617764,Clerk,1
32,Data_Entry,406.0952895013514,406.0952895013514,411.7991202642644,Clerk,1
25,Underwriting,379.87125009182733,379.87125009182733,411.82574928448776,Primary_UW,1
27,Underwriting,390.5940355346568,390.5940355346568,427.498417810646,Primary_UW,1
